Sample;Gender;Based;Research1;Research2;Field1;Field2;Position;SoftAnalysis1;SoftAnalysis2;SoftAnalysis3;SoftAnalysis4;OpenAllAnalysis;OpenSomeAnalysis;SoftWriting1;SoftWriting2;SoftWriting3;SoftWriting4;OpenAllWriting;OpenSomeWriting;SoftViz1;SoftViz2;SoftViz3;SoftViz4;OpenAllViz;OpenSomeViz;WhichKnownRepositories;KnownRepositories;PublishedSomething;WillGA;WillGAIf;WillGANo;PublishedNoWillPreprint;WillPreprintWhich;WillPreprintWhichWhy;WillPreprintNo;DidGA;WhyYes1;WhyYes2;WhyYes3;DidGANo1;DidGANo2;NoGAWillGreen;DidPreprint;LevelPreprint;WhichPreprint;PreprintNo1;PreprintNo2;WillPreprint;Methods1;Methods2;Replicability;NewData;RawData;WhereRaw1;WhereRaw2;RawRepo1;RawRepo2;RawRepo3;Recognition;MoreOD;Contact1;Contact2;Contact3;Contact4;Contact5;ContactOption;Social;Part2;Timestamp
29;Female;Europe;Africa;Asia;Archaeology;Botany;Senior_postdoc;Excel;;;;No;No;Word;;;;No;No;Office;;;;No;No;;No;Yes;;;;;;;;No;;;;Money;;Yes;Yes;1;;;;;Reference;Modifications;Yes;4;60;Main;Supplementary;Personal;;;Yes;Yes;Email;Twitter;;;;Email;Yes;Yes;2021/06/22_2:10:48_pm_CET
30;Female;Europe;Americas;;Palaeoenvironment;Paleontology;Junior_postdoc;R;;;;Yes;Yes;LaTeX;Word;;;No;Yes;Illustrator;R;;;No;Yes;;No;Yes;;;;;;;;No;;;;Money;;;No;;;Opposition;Unscientific;;Detailed;;Yes;4;100;Supplementary;;;;;Incentive;Yes;Email;;;;;Email;No;No;2021/06/28_11:28:03_am_CET
31;Female;Europe;Asia;;Archaeology;;PhD_candidate;Excel;R;;;No;Yes;Word;;;;No;No;Office;R;;;No;Yes;;No;Yes;;;;;;;;No;;;;Useless;;;No;;;;;Yes;Detailed;Repository;Yes;4;0;Main;;;;;No;Yes;Email;Twitter;;;;Email;Yes;No;2021/07/14_9:09:04_am_CET
32;Female;Americas;Americas;;Archaeology;;Senior_tenured;Excel;ArcGIS;;;No;No;Word;;;;No;No;Illustrator;Office;Tilia;;No;No;tDAR, academia.edu, researchgate.net;Yes;Yes;;;;;;;;Yes;Planned;;;;;;Yes;2;Access;;;;Reference;Modifications;Yes;4;40;Main;Supplementary;;;;Yes;Yes;Email;;;;;Email;No;Yes;2021/08/04_7:21:46_pm_CET
33;Female;Americas;Americas;;Archaeology;;Professional;Tilia;;;;No;No;WordPerfect;;;;No;No;Tilia;;;;No;No;;No;Yes;;;;;;;;No;;;;Money;Unethical;;No;;;Useless;Burden;;Detailed;;Yes;6;0;Diagram;;;;;No;Maybe;Email;;;;;Email;No;Yes;2021/08/04_9:56:59_pm_CET
35;Male;Americas;Asia;;Archaeology;;Senior_tenured;Canoco;Excel;PAST;;No;No;Word;;;;No;No;illustrator;Office;Tilia;;No;No;Neotoma;Yes;Yes;;;;;;;;Yes;Facilitated;;;;;;No;;;Unsicientific;;;Detailed;;Yes;4;80;Supplementary;;;;;No;Yes;Email;;;;;Email;No;Yes;2021/08/05_6:25:49_pm_CET
36;Male;Americas;Americas;;Archaeology;;PhD_candidate;Excel;;;;No;No;Word;;;;No;No;Office;;;;No;No;;No;Yes;;;;;;;;No;;;;Money;Too_expensive;;No;;;Useless;;;Detailed;;Yes;4;100;Main;;;;;No;Yes;Email;;;;;Email;No;Yes;2021/08/05_7:37:52_pm_CET
37;Male;Americas;Americas;;Archaeology;Botany;Senior_tenured;Excel;R;SPSS;;No;Yes;Word;;;;No;No;Illustrator;Office;Tilia;Tilia;No;No;;No;Yes;;;;;;;;No;;;;Unaware;;;Yes;3;;;;;Reference;Modifications;Yes;4;60;Main;Supplementary;Institutional;;;Incentive;Yes;Email;;;;;Email;No;No;2021/08/05_9:54:52_pm_CET
38;Female;Americas;Americas;;Archaeology;Botany;Senior_tenured;Sheets;Excel;SPSS;SYSTAT;No;No;Docs;Word;;;No;No;Illustrator;;;;No;No;;No;Yes;;;;;;;;No;;;;Unaware;;;No;;;Unaware;;;;;Yes;4;80;Main;Supplementary;Personal;;;Maybe;Yes;Email;;;;;Email;No;No;2021/08/09_9:23:52_pm_CET
39;Female;Americas;Americas;;Archaeology;;Senior_postdoc;Excel;R;PAST;;No;Yes;Word;;;;No;No;C2;;;;No;No;;No;Yes;;;;;;;;Yes;Required;Facilitated;;;;;No;;;;;Yes;Modifications;;Yes;6;20;Supplementary;;;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/08/10_4:46:58_pm_CET
40;Female;Americas;Americas;;Archaeology;;PhD_candidate;Sheets;Excel;;;No;No;Docs;Word;OpenOffice_LibreOffice;;No;Yes;Office;;;;No;No;;No;Yes;;;;;;;;No;;;;Money;;;No;;;;;Yes;Reference;Repository;Yes;4;100;Main;;;;;Incentive;Yes;Email;;;;;Email;No;Yes;2021/08/26_4:35:30_pm_CET
41;Female;Americas;Asia;;Archaeology;;Junior_postdoc;Excel;R;;;No;Yes;Docs;Word;;;No;No;Illustrator;Office;R;;No;Yes;;No;Yes;;;;;;;;No;;;;Too_expensive;;;No;;;Plagiarism;Unscientific;;Modifications;;Yes;4;100;Main;Supplementary;;;;Incentive;Yes;Email;;;;;Email;No;Yes;2021/09/07_5:43:29_pm_CET
42;Female;Americas;Americas;;Palaeoenvironment;Paleontology;Senior_tenured;Excel;R;;;No;Yes;Docs;Word;;;No;No;Illustrator;R;;;No;Yes;GitHub, BioRXiv;Yes;Yes;;;;;;;;No;;;;Money;Too_expensive;;Yes;2;Reccomendation;;;;Detailed;Reference;Yes;6;40;Supplementary;;;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/09/07_5:50:55_pm_CET
